,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,oscarmcmaster.csv
abbot.csv,0.59,0.27,0.0,0.06,0.05,0.38,0.59,0.85,0.22
jicarilla.csv,0.42,0.0,0.77,0.0,0.0,0.0,0.75,0.65,0.1
optalgtoolkit.csv,0.53,0.27,0.47,0.06,0.06,0.57,0.48,0.72,0.19
oscarmcmaster.csv,0.6,0.28,0.0,0.08,0.04,0.29,0.5,0.68,0.29
ossim.csv,0.44,0.28,0.48,0.14,0.0,0.5,0.57,0.69,0.13
projectts.csv,0.73,0.25,0.17,0.07,0.06,0.33,0.69,0.5,0.22
sabbu.csv,0.77,0.25,0.4,0.07,0.08,0.2,0.59,0.78,0.21
vxl.csv,0.62,0.3,0.62,0.09,0.08,0.25,0.67,0.76,0.21
zact.csv,0.48,0.19,0.62,0.06,0.13,0.0,0.57,0.65,0.12
