,id,max_bell,avge,median,bellwether
0,3,3,1.6,0.68,jfreereport.csv
1,9,6,3.7,0.675,galaxium.csv
2,20,6,3.69,0.555,retromenu.csv
3,38,3,1.3,0.435,taokgame.csv
