,id,max_bell,avge,median,bellwether
0,3,3,1.6,0.67,kml.csv
1,9,7,5.3,0.72,frogatto.csv
2,20,9,7.62,0.745,kolmafia.csv
3,38,5,3.15,0.48,kaffeine.csv
