,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.54,0.45,1.0,0.49
hibernate.csv,0.46,0.52,0.17,0.98
lamp.csv,0.88,0.17,0.13,0.13
thout.csv,0.39,0.91,0.37,0.51
