,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.22,0.41,0.0,0.46
hibernate.csv,0.34,0.64,0.09,0.0
lamp.csv,0.0,0.02,0.0,0.05
thout.csv,0.4,0.0,0.45,0.49
