,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.16,0.53,0.82,0.57,0.77,0.66,0.24,0.42,0.25,0.71,0.49,0.81,0.52,0.21,0.34
firebird.csv,0.19,0.61,0.8,0.65,0.76,0.79,0.26,0.43,0.3,0.63,0.48,0.64,0.6,0.22,0.36
flylegacy.csv,0.23,0.65,0.83,0.61,0.78,0.7,0.22,0.44,0.33,0.77,0.53,0.66,0.63,0.25,0.33
gzigzag.csv,0.23,0.68,0.88,0.57,0.84,0.84,0.35,0.7,0.43,1.0,0.57,0.78,0.41,0.33,0.54
hydrogen.csv,0.23,0.46,0.74,0.52,0.68,0.48,0.22,0.48,0.4,0.54,0.39,0.65,0.52,0.18,0.22
mcore3d.csv,0.14,0.63,0.83,0.6,0.77,0.81,0.23,0.8,0.38,0.76,0.54,0.69,0.11,0.22,0.42
nabu-library.csv,0.0,0.0,0.81,0.56,0.69,0.51,0.4,0.25,0.22,0.64,0.48,0.69,0.79,0.0,0.24
ogrehg.csv,0.33,0.56,0.76,0.7,0.76,0.76,0.29,0.46,0.26,0.8,0.6,0.79,0.35,0.23,0.48
qgo.csv,0.14,0.84,0.74,0.55,0.73,0.64,0.27,0.51,0.27,0.53,0.44,0.66,0.68,0.21,0.28
qtractor.csv,0.27,0.62,0.8,0.68,0.75,0.65,0.32,0.6,0.24,0.76,0.53,0.71,0.68,0.25,0.38
rhex.csv,0.33,0.5,0.74,0.51,0.56,0.5,0.21,0.38,0.36,0.5,0.4,1.0,0.74,0.22,0.21
rocrail.csv,0.22,0.7,0.75,0.67,0.76,0.73,0.26,0.47,0.35,0.62,0.54,0.43,0.76,0.31,0.45
webdriver.csv,0.2,0.54,0.8,0.56,0.73,0.61,0.36,0.73,0.24,0.77,0.53,0.67,0.39,0.25,0.41
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
yield.csv,0.13,0.56,0.74,0.62,0.73,0.79,0.25,0.47,0.21,0.62,0.51,0.64,0.5,0.22,0.32
