,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,1.0,15.0,0.0,66.0,0.0
dynalloy.csv,0.0,10.0,2.0,1.0,0.0
findbugs.csv,2.0,4.0,4.0,15.0,0.0
runuomondains.csv,3.0,1.0,5.0,0.0,2.0
xbplayer.csv,2.0,0.0,3.0,6.0,6.0
