,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.81,0.8,0.2,0.59,0.88,0.96,0.47,0.16,0.01,0.0,0.17,0.57,0.76,0.52,0.7,0.68
bullet.csv,0.76,0.64,0.16,0.93,0.78,0.87,0.46,0.11,0.01,0.0,0.12,0.58,0.62,0.37,0.6,0.61
customwars.csv,0.87,0.78,0.13,0.92,0.86,0.79,0.52,0.14,0.01,0.0,0.21,0.57,0.71,0.6,0.64,0.57
dvd-create.csv,0.75,0.7,0.23,0.17,0.97,0.89,0.36,0.22,0.0,0.0,0.14,0.61,0.61,0.49,0.53,0.49
gbif-indexingtoolkit.csv,0.77,0.67,0.15,0.24,0.82,0.63,0.34,0.32,0.0,0.0,0.15,0.74,0.56,0.5,0.66,0.39
go.csv,0.75,0.86,0.33,0.15,0.82,0.84,0.48,0.15,0.0,0.0,0.16,0.59,0.67,0.49,0.88,0.52
growl-for-windows.csv,0.85,0.0,0.19,0.83,0.6,0.88,0.48,0.18,0.0,0.0,0.16,0.64,0.57,0.6,0.92,1.0
gss.csv,0.77,0.64,0.27,0.75,0.91,0.79,0.46,0.18,0.0,0.0,0.15,0.62,0.88,0.45,0.61,0.52
kwave.csv,0.8,0.64,0.44,0.25,0.8,0.8,0.38,0.24,0.0,0.25,0.19,0.62,0.73,0.48,0.6,0.42
libarchive.csv,0.78,0.74,0.21,0.59,0.85,0.8,0.4,0.16,0.0,0.3,0.15,0.63,0.67,0.48,0.7,0.68
linux-ntfs.csv,0.76,0.61,0.2,0.48,0.86,0.82,0.38,0.19,0.0,0.22,0.17,0.58,0.68,0.6,0.57,0.56
lsb.csv,0.81,0.59,0.17,0.65,0.81,0.8,0.4,0.25,0.0,0.0,0.14,0.51,0.59,0.56,0.71,0.5
mpgravity.csv,0.74,0.76,0.19,0.21,0.84,0.8,0.34,0.19,0.0,0.53,0.15,0.62,0.61,0.48,0.73,0.46
qcad2.csv,0.79,0.87,0.36,0.35,0.83,0.78,0.52,0.19,0.01,0.5,0.18,0.62,0.61,0.48,0.76,0.56
qtwin.csv,0.75,0.0,0.0,0.0,0.0,0.5,0.57,0.19,0.03,0.29,0.14,0.65,0.83,0.6,0.67,0.0
xinity.csv,0.6,0.61,0.32,0.13,0.76,0.72,0.28,0.14,0.0,0.23,0.2,0.73,0.55,0.38,0.71,0.37
