,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.71,0.16,0.07,0.5,0.73,1.0,0.55,0.61,0.54,0.9,0.55
aztec.csv,0.0,1.0,0.09,0.75,0.65,0.57,0.5,0.6,0.25,0.86,0.56
bl-toolkit.csv,1.0,0.1,0.08,0.44,0.56,0.65,0.43,0.63,0.26,0.94,0.45
clamav.csv,0.88,0.06,0.02,1.0,0.55,0.6,0.0,0.61,0.26,0.82,0.47
fm-classic.csv,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0
kml.csv,0.71,0.14,0.06,0.38,1.0,0.71,0.48,0.68,0.34,0.87,0.46
lufa-lib.csv,0.67,0.09,0.04,0.35,0.49,0.57,0.98,0.42,0.2,0.91,0.46
mplayer-ce.csv,0.66,0.07,0.04,0.35,0.44,0.55,0.38,0.47,0.19,0.79,0.98
qmmp.csv,0.77,0.09,0.07,0.47,0.5,0.58,0.43,1.0,0.4,0.9,0.45
xapian.csv,0.75,0.14,0.05,0.32,0.38,0.62,0.47,0.38,0.96,0.94,0.51
xtreemfs.csv,0.82,0.14,0.04,0.6,0.72,0.61,0.5,0.75,0.35,0.99,0.5
