,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.65,0.2,0.13,0.37,0.67,0.98,0.6,0.48,0.54,0.81,0.49
aztec.csv,0.0,0.93,0.14,0.56,0.42,0.11,0.05,0.09,0.07,0.28,0.17
bl-toolkit.csv,0.99,0.16,0.15,0.58,0.65,0.63,0.6,0.38,0.28,0.87,0.62
clamav.csv,0.24,0.1,0.04,0.97,0.57,0.55,0.0,0.59,0.36,0.52,0.37
fm-classic.csv,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.01,0.0
kml.csv,0.51,0.2,0.11,0.33,0.99,0.74,0.55,0.66,0.42,0.79,0.58
lufa-lib.csv,0.63,0.15,0.06,0.37,0.54,0.44,0.98,0.39,0.26,0.59,0.43
mplayer-ce.csv,0.75,0.13,0.09,0.49,0.57,0.67,0.5,0.61,0.31,0.7,0.98
qmmp.csv,0.59,0.15,0.12,0.4,0.62,0.62,0.6,0.98,0.52,0.9,0.6
xapian.csv,0.67,0.22,0.1,0.41,0.4,0.58,0.45,0.4,0.96,0.87,0.53
xtreemfs.csv,0.72,0.22,0.07,0.4,0.68,0.65,0.5,0.55,0.44,0.99,0.56
