,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.56,0.29,0.66,0.34,0.64,0.98,0.65,0.44,0.58,0.69,0.48
aztec.csv,0.0,0.9,0.38,0.5,0.36,0.07,0.02,0.06,0.05,0.2,0.12
bl-toolkit.csv,0.98,0.37,0.67,0.69,0.68,0.61,0.0,0.31,0.35,0.79,0.0
clamav.csv,0.17,0.43,0.33,0.96,0.58,0.52,0.0,0.58,0.59,0.41,0.34
fm-classic.csv,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0
kml.csv,0.43,0.38,0.62,0.34,0.98,0.74,0.61,0.64,0.56,0.64,0.55
lufa-lib.csv,0.51,0.49,0.36,0.43,0.56,0.4,0.98,0.39,0.41,0.47,0.43
mplayer-ce.csv,0.0,0.13,0.24,0.36,0.33,0.46,0.34,0.09,0.2,0.36,0.97
qmmp.csv,0.51,0.56,0.75,0.39,0.55,0.59,0.0,0.96,0.72,0.74,0.3
xapian.csv,0.59,0.57,0.52,0.49,0.41,0.56,0.47,0.39,0.97,0.79,0.55
xtreemfs.csv,0.65,0.54,0.5,0.35,0.66,0.63,0.52,0.48,0.63,0.98,0.6
