,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.52,0.97,0.67,0.92,0.53,0.52,0.65,0.68,0.77,0.41,0.69
aztec.csv,0.0,0.95,0.91,0.67,0.71,0.86,0.83,0.8,0.75,0.98,0.98
bl-toolkit.csv,0.47,0.88,0.62,0.44,0.36,0.51,0.52,0.96,0.77,0.39,0.37
clamav.csv,0.88,0.45,0.4,0.58,0.42,0.51,0.0,0.47,0.44,0.68,0.67
fm-classic.csv,0.0,0.0,0.67,0.0,0.0,0.5,0.0,0.0,0.0,0.8,0.0
kml.csv,0.64,0.91,0.35,0.75,0.46,0.42,0.56,0.49,0.61,0.4,0.33
lufa-lib.csv,0.58,0.7,0.54,0.74,0.58,0.69,0.75,0.73,0.62,0.68,0.6
mplayer-ce.csv,0.46,0.44,0.3,0.43,0.43,0.46,0.56,0.43,0.42,0.41,0.59
qmmp.csv,0.55,0.53,0.4,0.67,0.43,0.47,0.52,0.53,0.51,0.34,0.38
xapian.csv,0.6,0.72,0.31,0.55,0.64,0.53,0.66,0.63,0.81,0.4,0.53
xtreemfs.csv,0.51,0.65,0.34,0.9,0.41,0.43,0.54,0.5,0.52,0.34,0.39
