,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.84,0.0,0.76,0.87,0.78,0.77,0.79,0.95,0.87,0.88
libtorrent.csv,0.83,0.81,0.8,0.37,0.79,0.06,0.72,0.89,0.8,0.87
mcmc-jags.csv,0.48,0.97,0.63,0.0,0.56,0.58,0.52,0.57,0.74,0.44
nebuladevice.csv,0.98,0.82,0.64,0.87,0.76,0.82,0.85,1.0,0.13,0.9
olap-navigator.csv,0.02,0.75,0.91,0.44,0.69,0.62,0.87,0.67,0.69,0.74
pidgin.csv,0.51,0.56,0.58,0.76,0.03,0.57,0.57,0.74,0.73,0.57
salasaga.csv,0.98,0.9,0.86,0.98,0.93,1.03,0.86,0.04,0.95,0.98
sepgsql.csv,0.9,0.89,0.15,0.89,0.8,0.91,0.92,0.96,1.0,0.93
xstore.csv,0.65,0.79,0.63,0.6,0.56,0.59,0.04,0.47,0.54,0.66
xtreemfs.csv,0.41,0.6,0.44,0.61,0.5,0.56,0.35,0.69,0.59,0.03
