,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.24,1.0,0.34,0.16,0.26,0.36,0.28,0.17,0.23,0.16
libtorrent.csv,0.5,0.51,0.56,0.78,0.56,0.96,0.61,0.38,0.53,0.42
mcmc-jags.csv,0.61,0.35,0.48,1.0,0.56,0.52,0.68,0.53,0.42,0.77
nebuladevice.csv,0.25,0.21,0.42,0.16,0.28,0.31,0.18,0.0,0.89,0.12
olap-navigator.csv,0.98,0.51,0.33,0.63,0.64,0.72,0.44,0.6,0.63,0.62
pidgin.csv,0.58,0.71,0.7,0.37,0.99,0.59,0.67,0.61,0.57,0.74
salasaga.csv,0.17,0.35,0.46,0.09,0.37,0.0,0.46,0.97,0.33,0.13
sepgsql.csv,0.18,0.17,0.88,0.16,0.25,0.12,0.11,0.05,0.0,0.1
xstore.csv,0.53,0.45,0.69,0.45,0.61,0.51,0.97,0.77,0.68,0.69
xtreemfs.csv,0.66,0.53,0.72,0.45,0.58,0.51,0.78,0.4,0.51,0.99
