,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.62,1.0,0.05,0.33,0.86,0.82,0.58,0.06,0.11,0.85
libtorrent.csv,0.7,0.41,0.06,0.48,0.75,0.99,0.56,0.16,0.19,0.86
mcmc-jags.csv,0.84,0.28,0.07,1.0,0.82,0.91,0.65,0.25,0.16,0.92
nebuladevice.csv,0.62,0.67,0.14,0.5,0.95,0.79,0.64,0.0,1.0,0.89
olap-navigator.csv,1.0,0.4,0.05,0.53,0.76,0.89,0.52,0.17,0.2,0.87
pidgin.csv,0.85,0.53,0.07,0.25,0.99,0.89,0.62,0.18,0.18,0.9
salasaga.csv,0.66,0.44,0.04,0.25,0.66,0.8,0.48,1.0,0.14,0.82
sepgsql.csv,0.53,0.3,1.0,0.18,0.81,0.77,0.44,1.0,0.0,0.86
xstore.csv,0.73,0.37,0.06,0.67,0.8,0.9,1.0,0.25,0.25,0.88
xtreemfs.csv,0.9,0.52,0.09,0.6,0.86,0.94,0.76,0.2,0.28,0.99
