,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.81,0.59,0.74,0.83,0.98,0.67,0.95,0.97,0.79,0.98
libtorrent.csv,0.43,0.41,0.4,0.44,0.36,0.38,0.47,0.51,0.33,0.31
mcmc-jags.csv,0.47,0.47,0.75,0.8,0.5,0.49,0.49,0.54,0.54,0.37
nebuladevice.csv,0.53,0.83,0.99,0.75,0.76,0.79,0.91,0.5,0.92,0.97
olap-navigator.csv,0.53,0.43,0.39,0.71,0.4,0.37,0.48,0.53,0.39,0.32
pidgin.csv,0.49,0.38,0.4,0.6,0.39,0.41,0.53,0.5,0.41,0.34
salasaga.csv,0.5,0.38,0.48,0.45,0.51,0.43,0.62,0.89,0.37,0.35
sepgsql.csv,0.94,0.9,0.96,0.91,0.98,0.92,0.89,0.0,0.83,0.97
xstore.csv,0.41,0.44,0.4,0.78,0.39,0.52,0.52,0.45,0.41,0.33
xtreemfs.csv,0.52,0.48,0.51,0.8,0.4,0.5,0.45,0.56,0.68,0.34
