,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.21,1.0,0.3,0.13,0.22,0.33,0.24,0.14,0.2,0.13
libtorrent.csv,0.85,0.73,1.0,0.8,0.92,0.97,0.78,0.96,0.87,0.97
mcmc-jags.csv,0.59,0.41,0.44,1.0,0.53,0.49,0.72,0.5,0.4,0.83
nebuladevice.csv,0.67,0.18,0.37,0.13,0.24,0.28,0.15,0.0,0.87,0.1
olap-navigator.csv,0.98,0.55,1.0,0.6,0.83,0.92,0.83,0.68,0.8,0.96
pidgin.csv,0.54,0.82,0.81,0.33,1.0,0.58,0.74,0.93,0.67,0.9
salasaga.csv,0.82,0.95,0.63,0.93,0.64,0.75,0.63,0.96,0.67,0.82
sepgsql.csv,0.15,0.14,0.85,0.13,0.21,0.1,0.09,0.04,0.0,0.08
xstore.csv,0.52,0.45,0.85,0.4,0.62,0.48,0.96,0.86,0.73,0.92
xtreemfs.csv,0.62,0.5,0.74,0.4,0.55,0.46,0.8,0.36,0.47,1.0
