,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.44,0.46,0.48,0.72,0.42,0.56,0.5,0.41,0.56,0.0,0.42,0.39,0.46,0.33,0.45,0.53
bullet.csv,0.4,0.4,0.41,0.92,0.39,0.42,0.47,0.72,1.0,0.39,0.55,0.4,0.36,0.0,0.35,0.4
customwars.csv,0.92,0.96,0.72,0.76,0.75,0.67,0.94,0.72,1.0,0.88,0.93,0.6,0.72,0.59,0.83,0.74
dvd-create.csv,0.39,0.4,0.42,0.68,0.41,0.45,0.42,0.35,0.51,0.86,0.38,0.36,0.55,0.4,0.47,0.53
gbif-indexingtoolkit.csv,0.89,0.9,0.88,0.86,0.9,0.94,0.92,0.88,1.0,0.0,0.8,0.83,0.71,0.88,0.89,0.93
go.csv,0.38,0.46,0.47,0.71,0.45,0.44,0.48,0.36,0.51,0.83,0.33,0.35,0.36,0.39,0.66,0.52
growl-for-windows.csv,0.47,0.5,0.51,0.73,0.55,0.4,0.55,0.45,0.7,0.5,0.38,0.41,0.45,0.4,0.59,0.56
gss.csv,0.39,0.41,0.45,0.63,0.45,0.38,0.47,0.39,0.48,0.45,0.31,0.29,0.4,0.4,0.35,0.48
kwave.csv,0.53,0.45,0.93,0.66,0.42,0.5,0.76,0.46,0.69,0.64,0.41,0.33,0.71,0.82,0.5,0.52
libarchive.csv,0.49,0.46,0.47,0.66,0.52,0.41,0.48,0.41,0.5,0.86,0.4,0.32,0.42,0.42,0.4,0.54
linux-ntfs.csv,0.54,0.55,0.7,0.94,0.65,0.51,0.65,0.67,0.67,0.0,0.51,0.4,0.61,0.58,0.53,0.65
lsb.csv,0.38,0.39,0.42,0.57,0.38,0.38,0.47,0.36,0.46,0.0,0.31,0.28,0.36,0.33,0.41,0.4
mpgravity.csv,0.51,0.62,0.64,0.62,0.61,0.46,0.5,0.47,0.91,0.75,0.59,0.44,0.67,0.43,0.64,0.57
qcad2.csv,0.67,0.41,0.58,0.97,0.5,0.9,0.6,0.47,0.82,0.78,0.54,0.5,0.5,0.64,0.74,0.51
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xinity.csv,0.4,0.44,0.41,0.83,0.41,0.53,0.49,0.42,0.53,0.0,0.43,0.41,0.33,0.36,0.43,0.52
