,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.0,0.36,0.46,0.11,0.39,0.57,0.26,0.48,0.29,0.0,0.55,0.54,0.6,0.52,0.39,0.32
bullet.csv,0.93,0.56,0.86,0.02,0.39,0.05,0.76,0.34,0.14,1.0,0.46,0.62,0.7,0.0,0.83,0.53
customwars.csv,0.03,0.24,0.52,0.18,0.5,0.57,0.22,0.22,0.08,0.12,0.0,0.35,0.4,0.14,0.17,0.26
dvd-create.csv,0.83,0.69,0.7,0.82,0.0,0.52,0.69,0.7,0.54,0.2,0.68,0.5,0.25,0.76,0.5,0.6
gbif-indexingtoolkit.csv,0.0,0.16,0.27,0.49,0.22,0.29,0.04,0.0,0.12,0.0,0.15,0.12,0.25,0.07,0.11,0.12
go.csv,0.73,0.0,0.41,0.75,0.39,0.29,0.59,0.74,0.73,0.1,0.99,0.65,0.8,0.9,0.39,0.51
growl-for-windows.csv,0.37,0.33,0.68,0.32,0.56,0.67,0.52,0.62,0.51,0.0,0.62,0.62,0.3,0.48,0.0,0.37
gss.csv,0.8,0.82,0.59,0.91,0.83,0.76,0.6,0.48,0.98,0.76,0.76,0.77,0.0,0.69,0.78,0.79
kwave.csv,0.43,0.71,0.0,0.77,0.67,0.43,0.48,0.44,0.57,0.41,0.55,0.69,0.2,0.28,0.5,0.65
libarchive.csv,0.27,0.27,0.5,0.09,0.28,0.14,0.3,0.72,0.38,0.15,0.73,0.81,0.65,0.31,0.33,0.0
linux-ntfs.csv,0.17,0.49,0.46,0.32,0.22,0.62,0.3,0.28,0.26,0.0,0.4,0.42,0.2,0.0,0.28,0.24
lsb.csv,0.67,0.67,0.73,0.04,0.33,0.81,0.87,0.68,0.52,0.0,0.91,0.81,0.65,0.72,0.94,0.38
mpgravity.csv,0.13,0.16,0.34,0.62,0.28,0.29,0.24,0.46,0.13,0.0,0.34,0.42,0.3,0.34,0.17,0.28
qcad2.csv,0.07,0.22,0.59,0.19,0.17,0.1,0.0,0.54,0.14,0.15,0.31,0.42,0.4,0.1,0.06,0.25
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xinity.csv,0.5,0.53,0.48,0.01,0.56,0.33,0.66,0.4,0.67,0.0,0.55,0.04,0.7,0.62,0.56,0.49
