,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.99,0.57,0.29,0.44,0.72,0.54,0.48,0.25,0.02,0.0,0.3,0.57,0.55,0.54,0.46,0.58
bullet.csv,0.75,0.79,0.29,0.32,0.73,0.99,0.52,0.07,0.01,0.32,0.26,0.63,0.67,0.0,0.6,0.61
customwars.csv,0.24,0.24,0.12,0.37,0.37,0.42,0.3,0.48,0.0,0.3,0.9,0.48,0.42,0.6,0.7,0.4
dvd-create.csv,0.72,0.78,0.33,0.33,1.0,0.72,0.54,0.3,0.01,0.46,0.26,0.73,0.6,0.61,0.36,0.56
gbif-indexingtoolkit.csv,0.21,0.07,0.12,0.25,0.14,0.28,0.27,0.84,0.01,0.0,0.32,0.13,0.41,0.35,0.59,0.19
go.csv,0.82,1.0,0.38,0.23,0.72,0.7,0.58,0.25,0.01,0.22,0.27,0.7,0.67,0.61,0.68,0.58
growl-for-windows.csv,0.69,0.56,0.23,0.3,0.55,0.74,0.49,0.35,0.01,0.29,0.29,0.61,0.62,0.57,0.97,0.56
gss.csv,0.78,0.76,0.44,0.26,0.8,0.75,0.58,0.33,0.0,0.35,0.29,0.73,1.0,0.61,0.63,0.59
kwave.csv,0.65,0.77,0.97,0.3,0.82,0.58,0.35,0.31,0.0,0.29,0.16,0.63,0.45,0.42,0.45,0.61
libarchive.csv,0.58,0.74,0.24,0.52,0.52,0.65,0.6,0.29,0.01,0.11,0.26,0.68,0.59,0.6,0.5,0.97
linux-ntfs.csv,0.7,0.53,0.29,0.13,0.51,0.62,0.36,0.44,0.01,0.0,0.33,0.63,0.58,0.96,0.51,0.49
lsb.csv,0.83,0.73,0.35,0.82,0.79,0.83,0.51,0.3,0.01,0.0,0.27,0.69,0.7,0.58,0.78,0.65
mpgravity.csv,0.55,0.54,0.16,0.4,0.52,0.6,0.49,0.34,0.01,1.0,0.31,0.47,0.4,0.67,0.44,0.57
qcad2.csv,0.52,0.7,0.19,0.2,0.52,0.21,1.0,0.23,0.02,0.29,0.3,0.54,0.59,0.55,0.75,0.65
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xinity.csv,0.65,0.7,0.21,0.2,0.69,0.53,0.46,0.32,0.0,0.0,0.23,0.98,0.72,0.51,0.44,0.51
