,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.62,1.0,0.33,0.24,1.0
bdbbasic.csv,0.71,0.7,0.49,1.0,1.0
empyrean.csv,1.0,0.66,0.28,0.3,0.97
gnome-jabber.csv,0.63,0.47,0.26,0.28,0.98
nutz.csv,0.7,0.52,0.97,0.57,0.95
