,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,1.0,0.79,0.97,0.76,0.46
elmo.csv,0.8,0.0,0.12,0.05,0.03
mscore.csv,0.4,0.76,0.45,0.68,0.98
tolven.csv,0.8,0.19,0.16,0.97,0.05
xbplayer.csv,0.0,0.95,0.09,0.38,0.24
