,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.75,0.51,0.03,0.47,0.69
elmo.csv,0.2,1.0,0.89,0.95,0.97
mscore.csv,0.61,0.67,0.62,0.47,0.02
tolven.csv,0.53,0.81,0.84,0.03,0.95
xbplayer.csv,1.0,0.05,0.91,0.62,0.76
