,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.5,0.64,0.76,0.82,0.63,0.47,0.6,0.0,1.0,0.8,1.0,0.7,0.9,0.66,0.89,0.74,0.72,0.87,0.88,0.7
bzbyte.csv,0.94,0.87,0.59,0.66,0.81,0.76,0.98,0.77,1.0,0.78,0.99,0.77,0.93,0.94,0.95,0.81,0.11,0.91,0.5,1.0
carabiner.csv,1.0,0.62,0.71,0.55,0.48,0.67,0.5,0.72,0.86,0.37,0.87,0.55,0.69,0.45,0.72,0.61,0.73,0.02,0.66,0.7
chipster.csv,0.92,0.62,0.05,0.56,0.52,0.53,0.6,0.48,0.93,0.61,0.91,0.54,0.84,0.86,0.72,0.88,0.67,0.83,0.77,0.89
continuum-ide.csv,0.91,0.94,0.91,0.88,0.92,0.83,0.06,0.93,1.0,0.85,1.0,0.77,1.0,0.82,0.86,0.73,0.88,0.82,0.97,1.0
ctrlr.csv,0.91,0.94,0.93,0.97,0.96,0.97,1.0,0.98,0.03,0.98,0.83,1.0,0.77,1.0,1.0,0.95,0.95,1.0,1.0,0.86
galaxium.csv,0.67,0.58,0.58,0.57,0.62,0.67,0.59,0.56,1.0,0.8,1.0,0.03,0.97,0.63,0.73,0.61,0.77,0.7,0.89,0.89
ingex.csv,0.99,0.91,0.82,0.63,0.57,0.7,0.84,0.75,0.61,0.76,0.69,0.58,0.08,0.93,0.78,0.84,0.85,0.94,0.85,0.85
itext.csv,0.57,0.63,0.6,0.64,0.67,0.48,0.68,0.57,0.87,0.68,1.0,0.5,0.8,0.0,0.58,0.66,0.82,0.87,0.79,0.8
jgnash.csv,1.0,0.96,0.88,0.84,0.12,0.93,0.86,0.76,0.96,0.95,0.84,0.78,0.77,0.8,0.86,0.5,0.84,0.91,0.83,0.92
jppf-project.csv,0.76,0.97,0.9,0.87,0.9,1.0,1.0,0.96,1.0,0.0,1.0,0.85,1.0,1.0,0.94,0.92,0.76,0.96,1.0,1.0
jsr308-langtools.csv,0.62,0.6,0.64,0.67,0.49,0.0,0.68,0.4,0.82,0.75,0.82,0.51,0.65,0.54,0.57,0.58,0.64,0.75,0.74,0.66
lite.csv,0.66,0.97,0.96,0.92,0.88,0.9,0.62,0.93,1.0,0.95,1.0,0.66,0.94,0.92,0.72,0.0,0.86,1.0,0.93,0.91
octet.csv,0.63,0.69,0.8,0.61,0.52,0.57,0.69,0.8,1.0,0.69,1.0,0.56,0.75,0.61,0.14,0.58,0.79,0.51,0.79,0.79
owfs.csv,0.0,0.75,0.8,0.61,0.61,0.49,0.58,0.56,0.95,0.82,0.67,0.61,0.64,0.53,0.72,0.67,0.87,0.82,0.89,0.75
sidekar.csv,0.55,0.68,0.64,0.0,0.64,0.25,0.73,0.59,0.98,0.5,0.85,0.59,0.7,0.56,0.49,0.62,0.79,0.54,0.65,0.72
stemkit.csv,1.0,1.0,0.99,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ta3d.csv,0.63,0.77,0.9,0.9,0.91,0.83,0.89,0.82,0.57,0.89,0.93,0.71,0.82,0.68,0.69,1.06,0.89,0.93,0.57,0.0
tigermud.csv,0.93,0.82,0.81,0.84,0.65,0.84,0.8,0.79,0.81,0.95,0.84,0.86,0.88,0.78,0.82,0.63,0.61,0.89,0.34,0.91
utgb.csv,0.71,0.03,0.7,0.7,0.69,0.67,0.82,0.76,0.95,0.8,0.68,0.77,0.6,0.89,0.59,0.53,0.82,0.68,0.96,0.78
