,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.41,0.5,0.35,0.3,0.31,0.68,0.44,1.0,0.0,0.38,0.0,0.38,0.16,0.48,0.1,0.35,0.43,0.21,0.26,0.46
bzbyte.csv,0.31,0.61,0.55,0.68,0.24,0.73,0.45,0.44,0.42,0.85,0.14,0.47,0.51,0.65,0.2,0.45,0.97,0.44,0.74,0.79
carabiner.csv,0.3,0.58,0.48,0.61,0.36,0.5,0.55,0.32,0.2,0.78,0.08,0.49,0.45,0.74,0.19,0.42,0.51,0.98,0.54,0.47
chipster.csv,0.23,0.55,0.98,0.6,0.34,0.63,0.47,0.52,0.11,0.67,0.06,0.48,0.29,0.57,0.27,0.17,0.49,0.24,0.39,0.55
continuum-ide.csv,0.17,0.11,0.16,0.22,0.12,0.28,0.97,0.12,0.0,0.28,0.0,0.33,0.0,0.3,0.18,0.38,0.22,0.27,0.06,0.0
ctrlr.csv,0.14,0.11,0.13,0.06,0.08,0.06,0.0,0.03,0.95,0.04,0.29,0.0,0.34,0.0,0.0,0.09,0.1,0.0,0.0,0.25
galaxium.csv,0.31,0.6,0.57,0.58,0.27,0.54,0.45,0.46,0.0,0.33,0.0,0.99,0.06,0.52,0.25,0.41,0.61,0.36,0.36,0.21
ingex.csv,0.1,0.18,0.28,0.6,0.31,0.45,0.22,0.29,0.42,0.4,0.18,0.44,0.93,0.14,0.16,0.22,0.28,0.14,0.29,0.27
itext.csv,0.34,0.53,0.5,0.52,0.29,0.67,0.38,0.44,0.18,0.59,0.0,0.58,0.29,1.0,0.4,0.38,0.3,0.21,0.34,0.33
jgnash.csv,0.0,0.09,0.19,0.27,0.94,0.12,0.2,0.32,0.07,0.1,0.18,0.32,0.32,0.33,0.18,0.5,0.29,0.15,0.28,0.15
jppf-project.csv,0.33,0.67,0.53,0.76,0.24,0.7,0.47,0.42,0.42,1.0,0.14,0.46,0.54,0.69,0.23,0.33,0.77,0.47,0.77,0.81
jsr308-langtools.csv,0.32,0.58,0.47,0.49,0.36,1.0,0.4,0.57,0.23,0.41,0.1,0.5,0.58,0.6,0.46,0.47,0.52,0.32,0.42,0.69
lite.csv,0.29,0.06,0.08,0.14,0.19,0.18,0.45,0.13,0.0,0.1,0.0,0.44,0.11,0.15,0.33,1.0,0.25,0.0,0.14,0.16
octet.csv,0.31,0.46,0.46,0.55,0.34,0.71,0.53,0.42,0.42,0.67,0.0,0.47,0.35,0.73,0.92,0.44,0.41,0.52,0.51,0.35
owfs.csv,1.0,0.38,0.31,0.55,0.31,0.65,0.47,0.48,0.08,0.31,0.31,0.47,0.46,0.62,0.33,0.43,0.26,0.31,0.22,0.39
sidekar.csv,0.36,0.66,0.53,1.0,0.29,0.91,0.46,0.49,0.06,0.71,0.1,0.5,0.46,0.64,0.31,0.49,0.47,0.55,0.52,0.53
stemkit.csv,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
ta3d.csv,0.31,0.56,0.55,0.63,0.17,0.59,0.43,0.36,0.46,0.89,0.15,0.44,0.45,0.58,0.29,0.26,0.84,0.43,0.67,1.0
tigermud.csv,0.09,0.39,0.42,0.34,0.36,0.35,0.43,0.27,0.25,0.73,0.14,0.31,0.19,0.54,0.15,0.41,0.67,0.41,0.88,0.16
utgb.csv,0.26,0.99,0.41,0.45,0.25,0.5,0.24,0.31,0.08,0.33,0.25,0.33,0.51,0.2,0.33,0.48,0.36,0.38,0.2,0.4
