,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.97,0.89,0.52,0.97,0.0,0.94,0.57,0.52,0.42,0.0
critterding.csv,0.52,0.56,0.48,0.65,0.42,0.49,0.42,0.39,0.47,0.47
enlightenment.csv,0.47,0.44,0.41,0.46,0.39,0.34,0.4,0.45,0.36,0.42
exordium.csv,0.75,0.58,0.61,0.75,0.49,0.45,0.0,0.7,0.72,0.86
google-caja.csv,0.34,0.38,0.43,0.38,0.36,0.33,0.41,0.34,0.32,0.32
itext.csv,0.36,0.39,0.43,0.46,0.35,0.33,0.41,0.35,0.34,0.34
lockss.csv,0.98,0.89,0.83,0.78,0.49,0.43,0.83,0.84,0.89,0.38
modplug.csv,0.41,0.49,0.46,0.49,0.41,0.35,0.44,0.35,0.45,0.34
reactos-mirror.csv,0.57,0.55,0.44,0.51,0.41,0.33,0.4,0.89,0.44,0.39
yafdotnet.csv,0.46,0.38,0.45,0.55,0.4,0.35,0.75,0.43,0.39,0.38
