,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.07,0.21,0.53,0.11,0.0,0.18,0.79,0.56,0.58,0.0
critterding.csv,0.59,0.62,0.95,0.45,0.86,0.64,0.95,0.88,0.65,0.88
enlightenment.csv,0.69,1.0,1.0,0.63,1.0,1.0,1.0,0.6,0.87,1.0
exordium.csv,0.01,0.47,0.74,0.01,0.68,0.6,0.0,0.4,0.27,0.18
google-caja.csv,0.69,0.71,0.68,0.55,0.95,0.85,0.74,1.0,0.75,0.71
itext.csv,0.71,0.38,0.95,0.49,0.95,1.0,0.68,0.93,0.67,0.76
lockss.csv,0.08,0.21,0.68,0.26,0.55,0.53,0.47,0.32,0.11,0.56
modplug.csv,0.78,0.74,1.0,0.83,0.91,0.85,0.95,0.97,0.76,0.76
reactos-mirror.csv,0.61,0.74,0.95,0.52,0.59,0.73,1.0,0.26,0.73,0.94
yafdotnet.csv,0.34,0.53,0.58,0.31,0.86,0.92,0.26,0.74,0.45,0.68
