,twostep.csv,columba.csv,les-indemodables.csv,geogebra.csv,mscore.csv,roolo.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
columba.csv,0.57,0.54,0.68,0.34,0.79,0.35,0.33,0.5,0.31
geogebra.csv,0.59,0.44,0.38,0.44,0.81,0.29,0.87,0.56,0.75
les-indemodables.csv,0.48,0.27,0.57,0.31,0.88,0.46,0.35,0.45,0.21
magicwars.csv,0.36,0.29,0.36,0.24,0.6,0.38,0.78,0.37,0.26
mscore.csv,0.45,0.33,0.42,0.29,0.81,0.27,0.32,0.38,0.29
roolo.csv,0.3,0.29,0.38,0.2,0.66,0.6,0.28,0.33,0.23
turbotrader-bos.csv,0.5,0.44,0.5,0.44,0.84,0.36,0.57,0.58,0.34
twostep.csv,0.68,0.36,0.5,0.26,0.77,0.32,0.34,0.43,0.28
xmemcached.csv,0.36,0.3,0.33,0.37,0.49,0.42,0.31,0.34,0.59
