,twostep.csv,columba.csv,les-indemodables.csv,geogebra.csv,mscore.csv,roolo.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
columba.csv,0.66,0.65,0.46,0.6,0.59,0.53,0.56,0.68,0.63
geogebra.csv,0.73,0.52,0.56,0.68,0.53,0.23,0.28,0.64,0.3
les-indemodables.csv,0.42,0.45,0.69,0.66,0.51,0.73,0.6,0.66,0.41
magicwars.csv,0.0,0.21,0.0,0.48,0.0,0.48,0.7,0.56,0.52
mscore.csv,0.68,0.57,0.64,0.67,0.71,0.36,0.05,0.61,0.59
roolo.csv,0.36,0.32,0.3,0.37,0.63,0.75,0.44,0.41,0.47
turbotrader-bos.csv,0.77,0.29,0.65,0.49,0.44,0.43,0.38,0.69,0.63
twostep.csv,0.8,0.67,0.67,0.65,0.6,0.48,0.53,0.7,0.57
xmemcached.csv,0.17,0.17,0.2,0.72,0.35,0.66,0.2,0.17,0.75
