,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.89,0.33,0.68,0.67,0.88,0.89,0.45,0.0,0.41,0.89,0.86,0.94,0.64,0.92,0.45,0.92,0.47,0.94
arsenal-1.csv,0.41,0.6,0.56,0.34,0.53,0.52,0.75,0.43,0.8,0.88,0.0,0.99,0.9,0.93,0.8,0.83,0.89,0.9
atomsite.csv,0.33,0.33,0.32,0.34,0.52,0.31,0.4,0.35,0.35,0.35,0.47,0.39,0.68,0.49,0.37,0.45,0.47,0.6
barracudamvc.csv,0.38,0.39,0.33,0.44,0.75,0.33,0.4,0.37,0.33,0.31,0.39,0.42,0.53,0.36,0.35,0.32,0.46,0.28
emisview.csv,0.5,0.0,0.78,0.7,0.57,0.71,0.56,0.86,0.38,0.57,0.82,0.6,0.0,0.9,0.48,0.57,0.58,0.86
findbugs.csv,0.41,0.36,0.42,0.42,0.54,0.32,0.77,0.95,0.54,0.6,0.52,0.59,0.91,0.52,0.5,0.65,0.54,0.32
jitterbit.csv,0.34,0.36,0.43,0.4,0.68,0.33,0.54,0.36,0.37,0.55,0.6,0.62,0.78,0.53,0.4,0.43,0.46,0.28
lite.csv,0.34,0.61,0.47,0.37,0.8,0.44,0.78,0.38,0.88,0.68,0.67,0.98,0.54,0.36,0.57,0.4,0.53,0.46
megasquirtavr.csv,0.47,0.4,0.38,0.51,0.65,0.28,0.91,0.48,0.75,0.46,0.48,0.84,0.92,0.41,0.68,0.61,0.65,0.93
ontopia.csv,0.46,0.34,0.45,0.95,0.5,0.33,0.45,0.8,0.44,0.44,0.39,0.86,0.55,0.41,0.33,0.43,0.72,0.45
openintents.csv,0.32,0.5,0.29,0.49,0.5,0.38,0.39,0.33,0.29,0.3,0.44,0.43,0.52,0.43,0.32,0.31,0.45,0.29
rectracker.csv,0.37,0.42,0.42,0.36,0.61,0.29,0.41,0.52,0.33,0.39,0.39,0.38,0.58,0.32,0.38,0.39,0.44,0.41
stajistics.csv,0.33,0.4,0.29,0.33,0.75,0.31,0.42,0.37,0.33,0.29,0.52,0.46,0.5,0.35,0.35,0.33,0.42,0.28
trackit.csv,0.6,0.92,0.0,0.97,0.66,0.65,0.67,0.47,0.43,0.64,0.56,0.67,0.87,0.76,0.39,0.83,0.82,0.75
wxlua.csv,0.67,0.43,0.69,0.71,0.63,0.62,0.43,0.94,0.43,0.78,0.66,0.71,0.55,0.53,0.83,0.95,0.89,0.43
x4x.csv,0.4,0.39,0.94,0.41,0.55,0.31,0.49,0.59,0.35,0.49,0.57,0.53,0.74,0.38,0.41,0.51,0.62,0.33
xharbour.csv,0.35,0.36,0.33,0.33,0.53,0.31,0.58,0.36,0.37,0.43,0.54,0.51,0.61,0.56,0.56,0.36,0.55,0.31
