,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.17,0.51,0.41,0.3,0.29,0.16,0.49,0.0,0.75,0.3,0.15,0.43,0.18,0.14,0.56,0.25,0.61,0.0
arsenal-1.csv,0.5,0.43,0.38,0.0,0.4,0.38,0.31,0.69,0.11,0.2,0.0,0.31,0.12,0.14,0.16,0.09,0.16,0.96
atomsite.csv,0.56,0.68,0.57,0.21,0.56,0.45,0.64,0.63,0.54,0.73,0.41,0.47,0.22,0.43,0.36,0.38,0.69,0.0
barracudamvc.csv,0.66,0.0,0.0,0.72,0.49,0.52,0.0,0.13,0.0,0.09,0.0,0.19,0.0,0.64,0.27,0.0,0.24,0.05
emisview.csv,0.37,0.0,0.34,0.33,0.44,0.4,0.45,0.18,0.78,0.71,0.26,0.62,0.01,0.11,0.57,0.4,0.51,0.0
findbugs.csv,0.0,0.61,0.55,0.54,0.05,0.44,0.36,0.34,0.57,0.34,0.55,0.7,0.15,0.56,0.56,0.62,0.23,0.43
jitterbit.csv,0.0,0.73,0.56,0.32,0.47,0.6,0.61,0.0,0.7,0.5,0.36,0.71,0.28,0.4,0.54,0.63,0.6,0.0
lite.csv,0.64,0.48,0.54,0.44,0.24,0.4,0.4,0.66,0.27,0.44,0.28,0.3,0.44,0.23,0.68,0.48,0.59,0.0
megasquirtavr.csv,0.61,0.0,0.34,0.53,0.5,0.13,0.26,0.41,0.3,0.44,0.52,0.52,0.18,0.59,0.36,0.45,0.38,0.0
ontopia.csv,0.54,0.57,0.5,0.18,0.06,0.52,0.55,0.26,0.54,0.59,0.43,0.19,0.38,0.82,0.55,0.43,0.35,0.0
openintents.csv,0.57,0.49,0.0,0.4,0.12,0.72,0.53,0.61,0.49,0.0,0.31,0.44,0.0,0.54,0.7,0.47,0.68,0.13
rectracker.csv,0.49,0.35,0.83,0.44,0.5,0.32,0.09,0.48,0.13,0.6,0.0,0.05,0.69,0.0,0.66,0.51,0.0,0.84
stajistics.csv,0.53,0.0,0.0,0.43,0.18,0.68,0.17,0.0,0.61,0.09,0.32,0.43,0.0,0.5,0.7,0.27,0.63,0.0
trackit.csv,0.43,0.1,0.0,0.27,0.5,0.33,0.51,0.54,0.4,0.41,0.62,0.48,0.41,0.47,0.46,0.43,0.44,0.0
wxlua.csv,0.47,0.35,0.53,0.36,0.47,0.29,0.26,0.37,0.72,0.42,0.51,0.51,0.73,0.55,0.16,0.43,0.27,0.77
x4x.csv,0.67,0.53,0.34,0.68,0.64,0.44,0.59,0.51,0.41,0.63,0.46,0.58,0.22,0.0,0.57,0.51,0.62,0.0
xharbour.csv,0.29,0.81,0.63,0.0,0.74,0.61,0.44,0.0,0.72,0.54,0.71,0.59,0.51,0.35,0.53,0.67,0.65,0.49
