,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.89,0.57,0.65,0.76,0.75,0.89,0.59,1.0,0.39,0.74,0.88,0.62,0.86,0.91,0.55,0.8,0.47,1.01
arsenal-1.csv,0.71,0.73,0.72,1.02,0.67,0.76,0.74,0.46,0.91,0.83,1.0,0.74,0.91,0.95,0.87,0.93,0.87,0.18
atomsite.csv,0.77,0.51,0.76,0.95,0.8,0.85,0.5,0.72,0.78,0.54,0.81,0.84,0.84,0.85,0.9,0.82,0.46,1.06
barracudamvc.csv,0.68,1.0,1.01,0.41,0.82,0.81,1.0,0.97,1.0,0.98,1.0,0.99,1.0,0.72,0.93,1.0,0.94,0.99
emisview.csv,0.75,1.0,0.72,0.73,0.63,0.68,0.62,0.86,0.4,0.4,0.79,0.48,0.99,0.93,0.67,0.7,0.6,1.02
findbugs.csv,1.03,0.74,0.69,0.79,0.99,0.87,0.76,0.79,0.63,0.77,0.78,0.54,0.88,0.58,0.76,0.5,1.02,0.87
jitterbit.csv,1.0,0.63,0.53,0.95,0.7,0.68,0.62,1.0,0.58,0.67,0.75,0.37,0.8,0.83,0.81,0.67,0.73,1.0
lite.csv,0.64,0.84,0.52,0.88,0.8,0.82,0.67,0.61,0.78,0.64,0.79,0.75,0.7,1.03,0.43,0.76,0.55,1.07
megasquirtavr.csv,0.66,1.0,0.94,0.7,0.56,0.97,0.87,0.9,0.86,0.84,0.81,0.56,0.85,0.74,0.83,0.74,0.92,1.01
ontopia.csv,0.56,0.75,0.57,0.88,0.95,0.8,0.77,0.79,0.74,0.61,0.86,0.87,0.89,0.27,0.79,0.8,0.71,1.12
openintents.csv,0.77,0.63,1.05,0.75,0.9,0.45,0.8,0.72,0.84,1.0,0.79,0.83,1.0,0.67,0.62,0.85,0.42,0.97
rectracker.csv,0.84,0.92,0.25,0.86,0.82,0.91,0.98,0.63,0.97,0.69,1.0,0.99,0.64,1.0,0.67,0.82,1.0,0.49
stajistics.csv,0.79,1.0,1.01,0.87,0.85,0.63,0.96,1.0,0.75,0.98,0.81,0.85,1.0,0.82,0.57,0.94,0.51,1.0
trackit.csv,0.82,0.96,1.0,0.83,0.83,0.8,0.74,0.79,0.92,0.76,0.57,0.71,0.79,0.58,0.86,0.67,0.64,1.0
wxlua.csv,0.62,0.92,0.56,0.76,0.85,0.87,0.96,0.71,0.48,0.7,0.73,0.65,0.53,0.63,0.87,0.64,0.82,0.6
x4x.csv,0.62,0.79,0.72,0.63,0.59,0.86,0.69,0.59,0.88,0.54,0.86,0.71,0.84,1.02,0.78,0.74,0.64,1.26
xharbour.csv,0.93,0.22,0.65,1.0,0.57,0.72,0.7,1.0,0.48,0.7,0.5,0.63,0.7,0.84,0.66,0.66,0.64,0.84
