,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.67,0.91,0.91,0.9,0.62,0.33,0.5,0.0,0.63,0.67,0.71,0.76,0.93,0.75,0.4,0.5,0.57,0.0
arsenal-1.csv,0.78,0.81,0.7,0.81,0.37,0.38,0.5,0.63,0.4,0.5,0.0,0.54,0.9,0.64,0.4,0.33,0.44,0.05
atomsite.csv,0.79,0.89,0.7,0.84,0.25,0.43,0.47,0.52,0.41,0.41,0.57,0.29,0.89,0.79,0.29,0.3,0.47,0.0
barracudamvc.csv,0.82,0.82,0.64,0.93,0.19,0.42,0.32,0.47,0.39,0.3,0.64,0.22,0.91,0.88,0.27,0.38,0.3,0.01
emisview.csv,0.78,0.0,0.89,0.91,0.35,0.57,0.5,0.57,0.62,0.53,0.82,0.45,1.0,0.7,0.29,0.43,0.42,0.0
findbugs.csv,0.73,0.85,0.69,0.84,0.2,0.4,0.32,0.42,0.46,0.28,0.65,0.37,1.0,0.89,0.28,0.55,0.21,0.01
jitterbit.csv,0.77,0.88,0.83,0.8,0.22,0.44,0.38,0.47,0.51,0.33,0.65,0.55,0.91,0.79,0.3,0.43,0.34,0.01
lite.csv,0.82,0.79,0.88,0.8,0.8,0.33,0.44,0.54,0.62,0.47,0.67,0.45,0.92,0.76,0.48,0.35,0.42,0.0
megasquirtavr.csv,0.81,0.81,0.62,0.84,0.53,0.4,0.22,0.41,0.3,0.24,0.64,0.46,1.0,0.86,0.2,0.36,0.2,0.0
ontopia.csv,0.88,0.82,0.84,0.76,0.5,0.4,0.33,0.6,0.41,0.36,0.56,0.21,0.91,0.95,0.29,0.32,0.5,0.0
openintents.csv,0.8,0.87,0.58,0.83,1.0,0.59,0.33,0.51,0.46,0.3,0.61,0.22,0.91,0.86,0.34,0.37,0.53,0.01
rectracker.csv,0.8,0.8,0.9,0.84,0.22,0.41,0.32,0.57,0.42,0.33,0.64,0.26,0.94,0.84,0.32,0.39,0.3,0.02
stajistics.csv,0.78,0.81,0.65,0.83,0.75,0.49,0.31,0.46,0.47,0.31,0.57,0.21,0.92,0.84,0.35,0.37,0.44,0.01
trackit.csv,0.72,0.58,0.0,0.8,0.21,0.35,0.31,0.47,0.31,0.27,0.72,0.27,0.89,0.97,0.29,0.46,0.43,0.0
wxlua.csv,0.86,0.8,0.8,0.83,0.18,0.29,0.28,0.53,0.57,0.33,0.63,0.31,0.95,0.87,0.33,0.55,0.25,0.02
x4x.csv,0.82,0.82,0.89,0.88,0.27,0.42,0.35,0.59,0.41,0.41,0.59,0.29,0.89,0.81,0.3,0.37,0.35,0.0
xharbour.csv,0.76,0.99,0.72,0.83,0.31,0.45,0.35,0.47,0.57,0.31,0.76,0.32,0.92,0.78,0.3,0.45,0.36,0.01
