,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.68,0.08,0.53,0.23,0.19,0.76,0.48,0.23,0.07,0.37,0.26,0.92
gamestone.csv,0.91,0.54,0.5,0.29,0.14,0.0,0.38,0.21,0.02,0.33,0.0,0.8
gbif-providertoolkit.csv,0.61,0.0,0.47,0.32,0.38,0.72,0.4,0.27,0.09,0.42,0.2,0.78
heekscad.csv,0.83,0.12,0.65,0.44,0.23,0.76,0.43,0.24,0.06,0.46,0.25,0.88
igarden.csv,0.85,0.15,0.76,0.43,0.25,0.85,0.48,0.2,0.05,0.59,0.32,0.95
levent.csv,0.65,0.06,0.67,0.47,0.23,0.83,0.36,0.35,0.0,0.43,0.5,0.9
lportal.csv,0.7,0.0,0.56,0.2,1.0,0.71,1.0,0.26,0.14,0.5,0.0,1.0
openmsx.csv,0.76,0.14,0.41,0.33,0.27,0.75,0.08,0.18,0.0,0.54,0.31,0.71
owlapi.csv,0.5,0.0,0.44,0.19,0.17,0.7,0.34,0.37,0.03,0.38,0.24,0.81
pnotepad.csv,0.84,0.2,0.49,0.31,0.17,0.73,0.41,0.14,0.04,0.34,0.2,1.0
quark.csv,0.77,0.67,0.91,0.67,0.22,1.0,1.0,0.25,0.12,0.5,0.44,1.0
xcsoar.csv,0.84,0.33,0.66,0.37,0.26,0.75,0.45,0.24,0.06,0.4,0.2,0.93
