,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.42,0.26,0.5,0.06,0.07,0.47,0.53,0.98,0.13,0.15
haphazard.csv,0.4,0.19,0.4,0.11,0.0,0.5,0.71,0.69,1.0,0.27
jicarilla.csv,0.45,0.29,0.97,0.0,0.1,0.3,1.0,0.5,0.29,0.25
ondex.csv,0.45,0.33,0.5,0.07,0.06,0.38,0.8,0.68,0.21,1.0
optalgtoolkit.csv,0.47,0.33,0.15,0.09,0.05,1.0,0.55,0.65,0.36,0.23
ossim.csv,0.6,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
projectts.csv,0.43,0.27,0.41,0.05,0.02,0.61,1.0,0.74,0.22,0.2
sabbu.csv,0.98,0.25,0.48,0.1,0.1,0.41,0.57,0.71,0.24,0.19
vxl.csv,0.5,1.0,0.64,0.07,0.1,0.0,0.64,0.5,0.0,0.24
zact.csv,0.0,0.5,0.62,0.0,1.0,0.4,0.0,0.0,0.33,0.5
