,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.73,0.62,0.58,0.42,0.46,0.41,0.53,0.42,0.58,0.5
haphazard.csv,0.91,0.97,0.75,0.96,0.91,0.5,0.86,0.48,0.92,0.93
jicarilla.csv,0.97,0.86,0.85,0.94,0.95,0.9,0.0,0.75,0.93,0.96
ondex.csv,0.78,0.93,0.86,0.91,0.48,0.62,0.8,0.45,0.5,0.97
optalgtoolkit.csv,0.6,0.94,0.92,0.43,0.78,0.61,0.65,0.38,0.79,0.77
ossim.csv,0.8,0.67,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0
projectts.csv,0.96,0.62,0.71,0.6,0.6,0.5,0.6,0.38,0.48,0.8
sabbu.csv,0.51,0.45,0.81,0.46,0.49,0.41,0.5,0.93,0.43,0.34
vxl.csv,0.76,0.91,0.73,0.98,0.9,0.0,0.64,0.83,0.67,0.94
zact.csv,0.0,0.5,0.92,0.0,0.8,0.9,0.0,0.5,0.67,0.5
