,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.34,0.62,0.79,0.88,0.86,0.84,0.65,1.0,0.31,0.55
haphazard.csv,0.31,0.16,0.24,0.19,0.0,0.05,0.41,0.45,0.92,0.12
jicarilla.csv,0.26,0.32,0.97,0.0,0.29,0.16,0.03,0.05,0.31,0.18
ondex.csv,0.4,0.24,0.21,0.31,0.71,0.26,0.11,0.34,0.69,0.91
optalgtoolkit.csv,0.59,0.16,0.06,0.69,0.29,0.95,0.3,0.59,0.38,0.36
ossim.csv,0.05,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
projectts.csv,0.21,0.57,0.21,0.44,0.14,0.58,0.95,0.57,0.46,0.33
sabbu.csv,0.97,0.57,0.3,0.88,1.0,0.63,0.43,0.23,0.77,0.88
vxl.csv,0.33,0.89,0.64,0.19,0.14,0.0,0.68,0.07,0.0,0.12
zact.csv,0.0,0.03,0.24,0.0,0.71,0.21,0.0,0.0,0.08,0.03
