,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.52,0.56,0.7,0.8,0.71,0.58,0.78,0.06,0.52,0.62
haphazard.csv,0.5,0.23,0.32,0.09,0.09,0.03,0.22,0.5,0.0,0.07
jicarilla.csv,0.33,0.26,0.03,0.06,0.16,0.23,0.0,0.11,0.19,0.11
ondex.csv,0.52,0.16,0.19,0.24,0.62,0.26,0.04,0.39,0.63,0.0
optalgtoolkit.csv,0.7,0.11,0.3,0.44,0.33,0.0,0.33,0.78,0.17,0.25
ossim.csv,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
projectts.csv,0.3,0.51,0.27,0.46,0.39,0.23,0.0,0.5,0.4,0.26
sabbu.csv,0.02,0.56,0.3,0.47,0.54,0.55,0.44,0.22,0.62,0.76
vxl.csv,0.35,0.0,0.32,0.15,0.08,0.0,0.52,0.17,0.06,0.08
zact.csv,0.0,0.01,0.14,0.0,0.0,0.19,0.0,0.11,0.04,0.01
