,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.36,0.57,0.6,0.52,0.62,0.7,0.47,0.99,0.33,0.5
haphazard.csv,0.34,0.19,0.28,0.23,0.0,0.06,0.45,0.46,0.93,0.15
jicarilla.csv,0.3,0.36,0.97,0.0,0.33,0.19,0.04,0.06,0.35,0.21
ondex.csv,0.41,0.28,0.25,0.35,0.6,0.3,0.13,0.37,0.59,0.93
optalgtoolkit.csv,0.49,0.19,0.07,0.66,0.33,0.96,0.34,0.44,0.43,0.4
ossim.csv,0.06,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
projectts.csv,0.24,0.55,0.24,0.46,0.17,0.61,0.96,0.55,0.48,0.37
sabbu.csv,0.97,0.54,0.34,0.78,0.81,0.58,0.45,0.27,0.64,0.57
vxl.csv,0.37,0.91,0.65,0.22,0.17,0.0,0.63,0.09,0.0,0.15
zact.csv,0.0,0.04,0.28,0.0,0.75,0.25,0.0,0.0,0.1,0.04
