,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.32,0.11,0.05,0.28,0.28,0.56,0.0,0.04,0.46,0.5,0.04,0.19,0.37,0.05,0.03,0.38
bdbbasic.csv,0.52,0.22,0.06,0.48,0.31,0.57,0.22,0.37,0.6,0.82,0.5,0.43,0.62,0.63,0.12,0.62
crux-framework.csv,0.33,0.25,0.13,0.31,0.3,0.22,0.59,0.38,0.36,0.49,0.36,0.16,0.48,0.55,0.3,0.12
echongl.csv,0.42,0.32,0.08,0.59,0.38,0.41,0.31,0.54,0.53,0.87,0.4,0.4,0.58,0.63,0.05,0.51
etherboot.csv,0.0,0.52,0.0,0.1,0.41,0.3,0.0,0.83,0.5,0.0,0.49,0.33,0.13,0.0,0.07,0.65
freebios.csv,0.22,0.32,0.03,0.52,0.34,0.3,0.67,0.5,0.36,0.63,0.32,0.21,0.55,0.3,0.07,0.16
gebr.csv,0.48,0.25,0.07,0.68,0.4,0.48,0.64,0.8,0.44,0.82,0.48,0.32,0.84,0.74,0.05,0.64
gnukeda.csv,0.48,0.25,0.05,0.78,0.29,0.35,0.26,0.33,0.0,0.07,0.21,0.17,0.79,0.03,0.02,0.53
google-gears.csv,0.54,0.38,0.09,0.54,0.42,0.5,0.35,0.77,0.49,0.82,0.45,0.34,0.77,0.73,0.08,0.63
gstreamer.csv,0.49,0.19,0.02,0.57,0.35,0.47,0.41,0.63,0.48,0.72,0.44,0.36,0.67,0.75,0.06,0.62
jnode.csv,0.06,0.25,0.25,0.45,0.0,0.0,0.18,0.53,0.28,0.18,0.08,0.08,0.22,0.04,0.08,0.07
metacosm.csv,0.31,0.26,0.1,0.45,0.21,0.46,0.06,0.59,0.25,0.52,0.37,0.32,0.4,0.36,0.05,0.7
openmeetings.csv,0.59,0.56,0.1,0.33,0.37,0.53,0.08,0.59,0.44,0.62,0.46,0.23,0.43,0.37,0.11,0.57
pgui.csv,0.41,0.24,0.0,0.67,0.4,0.43,0.14,0.76,0.45,0.08,0.59,0.32,0.73,0.0,0.05,0.64
tradelink.csv,0.33,0.39,0.1,0.57,0.29,0.47,0.58,0.7,0.51,0.75,0.45,0.47,0.42,0.68,0.03,0.65
wxcrp.csv,0.53,0.21,0.08,0.58,0.42,0.47,0.58,0.83,0.49,0.83,0.44,0.44,0.68,0.73,0.03,0.55
