,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.98,0.75,0.59,0.74,0.56,1.0,0.84,0.86,0.92,1.0,0.81
biopax.csv,0.95,0.82,1.0,0.97,0.86,0.98,1.0,1.0,0.79,1.0,0.85
crux-framework.csv,0.2,0.34,0.08,0.09,0.69,0.23,0.08,0.19,0.07,1.0,0.07
kml.csv,0.95,0.98,0.96,1.0,0.75,0.98,1.0,0.96,1.0,1.0,1.0
les-indemodables.csv,0.66,0.57,0.77,0.63,0.81,0.6,0.7,0.31,0.39,1.0,0.56
metacosm.csv,0.59,0.41,0.74,0.51,0.56,0.48,0.76,0.83,0.56,0.0,0.7
moviesandbox.csv,0.7,0.3,0.26,0.77,0.19,0.85,0.92,0.81,0.77,0.67,0.74
sigil.csv,0.82,0.23,0.48,0.69,0.06,0.83,0.81,0.69,0.7,1.0,0.81
unflobtactical.csv,0.93,0.48,0.65,0.71,0.06,0.96,1.0,0.81,0.82,1.0,0.59
xtreemfs.csv,0.98,0.98,0.66,0.89,0.86,0.96,0.92,0.87,0.62,1.0,0.74
yale.csv,0.32,0.43,0.51,0.71,1.0,0.6,0.43,0.28,0.42,0.0,0.37
