,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.5,0.74,0.59,0.72,0.59,0.78,0.57,0.82,0.35,0.52,0.67
biopax.csv,0.5,0.67,0.0,0.64,0.56,0.61,0.3,0.27,0.82,0.0,0.34
crux-framework.csv,0.23,0.37,0.1,0.11,0.32,0.27,0.1,0.23,0.09,0.98,0.09
kml.csv,0.44,0.0,0.13,0.65,0.77,0.54,0.3,0.35,0.0,0.05,0.0
les-indemodables.csv,0.64,0.57,0.64,0.65,0.75,0.63,0.7,0.33,0.43,0.6,0.59
metacosm.csv,0.6,0.45,0.63,0.54,0.6,0.53,0.69,0.71,0.61,0.0,0.71
moviesandbox.csv,0.68,0.35,0.3,0.69,0.22,0.74,0.56,0.74,0.77,0.6,0.66
sigil.csv,0.72,0.27,0.51,0.71,0.07,0.83,0.68,0.7,0.74,0.73,0.68
unflobtactical.csv,0.74,0.53,0.52,0.72,0.07,0.83,0.09,0.69,0.7,0.54,0.56
xtreemfs.csv,0.5,0.4,0.63,0.73,0.76,0.79,0.5,0.85,0.66,0.73,0.67
yale.csv,0.35,0.45,0.54,0.36,0.13,0.51,0.41,0.31,0.43,0.0,0.41
