,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.27,0.98,0.08,0.79,0.74,0.92,0.34,0.16,0.79,0.52,0.85,0.87
gwanted.csv,0.39,1.0,0.19,0.72,0.86,0.82,0.43,0.43,0.78,0.0,0.76,0.0
ivatamasks.csv,0.33,1.0,0.09,0.88,0.63,0.78,0.38,0.24,0.81,0.56,0.73,0.69
java-gnome.csv,0.45,1.0,0.1,0.88,0.63,1.0,0.3,0.16,0.96,0.6,0.74,0.65
orc.csv,0.0,1.0,0.34,0.8,0.44,0.86,0.35,0.26,0.53,0.0,0.85,0.81
plato.csv,0.27,0.99,0.08,0.69,0.66,0.95,0.37,0.2,0.8,0.56,0.73,0.68
rodin-b-sharp.csv,1.0,0.97,0.37,0.54,0.77,0.85,0.78,0.13,0.88,0.0,0.89,0.61
tycho.csv,0.08,0.99,0.18,0.67,0.82,0.91,0.2,0.34,0.88,0.81,0.69,0.71
umber.csv,0.74,0.98,0.1,0.71,0.65,0.84,0.37,0.15,0.79,0.45,0.81,0.66
unicase.csv,0.52,1.0,0.12,0.66,0.62,0.87,0.42,0.22,0.82,0.43,0.83,0.65
vienna-add-in.csv,0.2,0.97,0.08,0.66,0.82,0.81,0.28,0.18,0.53,0.61,0.59,0.57
wpdev.csv,0.26,1.0,0.1,0.68,0.66,0.84,0.36,0.15,0.77,0.56,0.73,0.63
