,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,geochat.csv
adaptagrams.csv,1.0,0.84,0.47,0.26,0.24,0.31
aime.csv,0.41,0.83,0.39,0.35,1.0,0.16
badtrinitycore.csv,0.19,0.61,0.19,0.99,0.0,0.26
electric-core.csv,0.42,0.62,0.94,0.2,0.29,0.33
geochat.csv,0.58,0.42,0.38,0.22,0.15,0.95
olsrd.csv,0.76,1.0,0.38,0.3,0.32,0.4
