,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.54,0.64,0.99,0.64,0.64,0.58,0.65,0.56,0.67,0.53,0.67,0.54,0.56,0.43,0.68
glelite.csv,0.21,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13
hannosset.csv,0.0,0.0,0.33,0.0,0.05,0.0,0.05,0.0,0.0,0.02,1.0,0.13,0.08,0.12,0.06
ipfilter.csv,0.27,0.42,0.34,0.49,0.49,0.48,0.4,0.59,0.56,0.59,0.51,1.0,0.0,0.5,0.52
moving-pictures.csv,0.7,0.4,0.12,0.0,0.6,0.53,1.0,0.81,0.48,0.36,0.59,0.2,0.58,0.47,0.48
pclasses.csv,1.0,0.13,0.0,0.0,0.05,0.0,0.05,0.0,0.33,0.13,0.0,0.0,0.0,0.26,0.41
pfaedit.csv,0.11,0.66,0.54,0.0,0.52,0.98,0.59,0.0,0.53,0.36,0.61,0.32,0.32,0.56,0.73
qcad2.csv,0.11,0.53,0.27,0.0,1.0,0.35,0.49,0.0,0.61,0.45,0.36,0.5,0.48,0.44,0.19
rockbox.csv,0.62,0.63,0.44,0.77,0.58,0.62,0.5,0.7,0.58,0.21,0.74,0.6,0.49,0.53,1.0
roller.csv,0.51,0.58,0.35,0.61,0.6,0.39,0.49,0.54,1.0,0.3,0.44,0.59,0.35,0.56,0.4
theresa.csv,0.0,0.0,0.0,1.0,0.07,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.06,0.0
tzod.csv,0.11,0.94,0.47,0.68,0.54,0.74,0.25,0.0,0.64,0.13,0.35,0.16,0.38,0.42,0.25
xinity.csv,0.74,0.57,0.39,0.0,0.4,0.53,0.59,0.0,0.49,0.4,0.52,0.51,0.63,1.0,0.65
zabbix.csv,0.31,0.24,0.0,0.3,0.56,0.45,0.49,0.0,0.51,0.98,0.41,0.36,0.0,0.0,0.52
