,gpsmid.csv,emftriple.csv,fluent-nhibernate.csv,columba.csv
columba.csv,0.49,1.06,0.37,0.42
emftriple.csv,0.91,0.14,1.01,0.82
fluent-nhibernate.csv,0.45,1.05,0.2,0.62
gpsmid.csv,0.23,0.79,0.32,0.55
