,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.37,0.73,0.59,0.5,0.48,0.43,0.46,0.37,0.84,0.05,0.91,0.29,0.69,0.85,0.81
bibletime.csv,0.43,0.55,0.54,0.37,0.46,0.44,0.28,0.43,0.74,0.03,0.91,0.22,0.52,0.79,0.61
boost.csv,0.46,0.71,0.56,0.36,0.56,0.47,0.41,0.5,0.83,0.03,0.9,0.24,0.65,0.95,0.67
doomlegacy.csv,0.39,1.0,0.6,0.2,0.65,0.49,0.75,0.5,0.83,0.03,0.94,0.29,0.73,1.0,0.8
gpac.csv,0.35,0.52,0.74,0.34,0.38,0.33,0.27,0.41,0.76,0.03,0.82,0.25,0.45,0.75,0.59
kftpgrabber.csv,0.59,1.0,0.6,1.0,0.55,0.62,1.0,0.65,0.88,0.06,0.92,0.39,0.76,0.0,0.89
nativeclient.csv,0.47,0.68,0.64,0.4,0.45,0.61,0.43,0.49,0.88,0.03,0.92,0.24,0.57,0.89,0.77
netatalk.csv,0.36,0.73,0.5,0.36,0.48,0.35,0.45,0.42,0.79,0.03,0.89,0.22,0.49,0.76,0.65
open-ms.csv,0.48,0.9,0.55,0.43,0.48,0.53,0.5,0.36,0.81,0.04,1.0,0.28,0.5,0.81,0.76
openmsx.csv,0.57,0.49,0.0,0.24,0.75,0.33,0.26,0.55,0.85,0.02,0.82,0.0,0.46,0.78,0.58
rosegarden.csv,0.54,0.74,0.63,0.36,0.48,0.5,0.43,0.46,0.8,0.03,0.93,0.23,0.54,0.82,0.63
rsyslog.csv,0.44,0.69,0.53,0.43,0.4,0.31,0.26,0.43,0.8,0.03,0.86,0.24,0.48,0.85,0.71
sandiaportals.csv,0.33,0.58,0.54,0.3,0.56,0.35,0.31,0.44,0.83,0.04,0.88,0.22,0.59,0.95,0.67
xmoto.csv,0.4,0.61,0.55,0.43,0.37,0.49,0.27,0.37,0.8,0.03,0.85,0.27,0.68,0.74,0.75
xqilla.csv,0.28,1.0,0.56,0.45,0.36,0.33,0.29,0.3,0.75,0.3,0.85,0.17,0.35,0.56,0.48
