,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.48,0.61,0.67,0.75,0.46,0.86,0.47,0.0,0.31,0.02,0.6
freedom-erp.csv,0.69,0.12,0.95,0.0,0.0,0.83,0.88,0.79,0.17,0.0,0.71
haggle.csv,0.38,0.36,0.73,0.72,0.58,0.85,0.54,0.65,0.27,0.02,0.6
jchassis.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.22,0.0
jmoney.csv,0.79,0.51,0.91,0.79,0.56,0.75,0.88,0.73,0.28,0.0,0.88
jsidplay2.csv,0.48,0.25,0.91,0.45,0.62,0.82,0.77,0.59,0.04,0.0,0.0
madman.csv,0.38,0.38,0.75,0.87,0.54,0.86,0.75,0.5,0.39,0.0,0.59
matrex.csv,0.61,1.0,0.88,1.0,0.68,1.0,0.85,0.73,0.22,0.0,1.0
mediate.csv,0.22,0.45,0.64,0.75,0.67,0.76,0.4,0.68,0.3,0.03,0.54
primefaces.csv,0.37,0.35,0.79,0.64,0.57,0.73,0.61,0.69,0.14,0.04,0.82
tmva.csv,0.38,0.31,0.76,0.64,0.57,0.88,0.49,0.58,0.22,0.0,0.62
