,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.49,0.67,0.61,0.27,0.46,0.35,0.54,0.0,0.38,0.04,0.67
freedom-erp.csv,0.61,0.06,0.48,0.0,0.0,0.06,0.17,0.77,0.29,0.0,0.49
haggle.csv,0.45,0.48,0.45,0.68,0.44,0.4,0.67,0.25,0.41,0.04,0.71
jchassis.csv,0.0,0.0,0.0,0.0,0.19,0.0,0.08,0.0,0.0,0.36,0.0
jmoney.csv,0.77,0.64,0.65,0.54,0.63,0.49,0.33,0.43,0.42,0.0,0.29
jsidplay2.csv,0.51,0.24,0.86,0.27,0.67,0.52,0.65,0.74,0.06,0.0,0.0
madman.csv,0.21,0.33,0.32,0.5,0.27,0.36,0.32,0.06,0.54,0.0,0.42
matrex.csv,0.65,0.46,0.51,0.15,0.66,0.02,0.83,0.5,0.24,0.0,0.05
mediate.csv,0.14,0.38,0.2,0.49,0.71,0.37,0.47,0.51,0.33,0.06,0.54
primefaces.csv,0.53,0.52,0.77,0.78,0.69,0.85,0.72,0.47,0.25,0.07,0.79
tmva.csv,0.53,0.39,0.86,0.7,0.72,0.81,0.66,0.73,0.35,0.0,0.73
