,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,0.71,0.38,0.7,0.98,0.98,1.0,0.91,0.46,0.57,0.71,0.74,0.69
emono.csv,0.46,0.87,0.9,0.95,0.84,0.83,0.92,0.94,0.54,0.98,0.5,0.43
freedom-erp.csv,0.05,0.06,0.05,0.02,0.04,0.0,0.01,0.31,0.0,0.0,0.0,0.02
jchassis.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.06,0.0,0.0
jmoney.csv,0.15,0.35,0.1,0.35,0.18,0.6,0.03,0.13,0.33,0.17,0.57,0.76
jmonkeyengine.csv,0.63,0.86,0.75,0.74,0.22,0.5,0.84,0.07,0.71,0.88,0.61,0.93
jsidplay2.csv,0.32,0.16,0.25,0.18,0.6,0.6,0.23,0.89,0.29,0.17,0.08,0.14
matrex.csv,0.2,0.14,0.15,0.0,0.14,0.4,0.13,0.19,0.03,0.02,0.04,0.07
mediate.csv,0.34,0.68,0.15,0.4,0.68,0.4,0.77,0.71,0.57,0.77,0.01,0.02
mesa3d.csv,0.44,0.48,0.5,0.29,0.14,0.83,0.47,0.43,0.56,0.27,0.28,0.71
pustefix.csv,0.59,0.22,0.15,0.21,0.48,0.23,0.29,0.27,0.42,0.23,0.9,0.52
reaper3d.csv,0.39,0.41,0.25,0.61,0.16,0.03,0.27,0.43,0.33,0.11,0.02,0.24
