,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.0,0.58,0.18,0.2
freelords.csv,0.68,0.79,0.04,0.6
jfreereport.csv,0.61,0.0,0.68,0.8
super-tux.csv,1.0,0.5,0.29,0.0
