,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.96,0.71,0.34,0.28
freelords.csv,0.88,0.74,0.97,0.73
jfreereport.csv,0.46,0.89,0.53,0.62
super-tux.csv,1.0,0.63,0.53,1.0
