,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.52,0.48,0.59,0.61
freelords.csv,0.36,0.47,0.44,0.51
jfreereport.csv,0.5,0.99,0.62,0.66
super-tux.csv,0.29,0.45,0.5,0.44
