,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,1.0,0.82,0.0,0.44,0.56,0.04,0.39,0.33,0.23,0.45,0.37,0.05,0.45,0.12
jicarilla.csv,0.0,0.03,0.94,0.0,0.09,0.04,0.0,0.0,0.08,0.05,0.0,0.0,0.05,0.33
jmule.csv,1.0,0.62,0.03,0.88,0.68,0.68,0.67,0.52,1.0,0.72,0.79,0.23,0.7,0.92
micomt.csv,1.0,0.74,0.88,1.0,0.82,0.82,0.94,1.0,0.85,0.87,0.89,0.68,0.95,0.92
migen.csv,0.5,0.13,0.15,0.56,0.68,0.54,0.11,0.19,0.54,0.58,0.37,0.36,0.5,0.04
mvnforum.csv,0.0,0.38,0.09,0.06,0.35,0.04,0.61,0.67,0.31,0.59,0.21,0.14,0.3,0.0
ng4j.csv,1.0,0.82,0.0,0.94,0.74,0.68,0.89,0.62,0.85,0.68,0.89,0.68,0.85,0.46
open-data-kit.csv,0.5,0.67,0.06,0.88,0.68,0.54,0.61,0.48,1.0,0.7,0.68,0.41,0.8,0.67
opennms.csv,0.5,0.41,0.03,0.44,0.26,0.61,0.0,0.1,0.15,0.34,0.0,0.14,0.3,0.67
ossim.csv,0.5,0.59,0.33,0.81,0.44,0.57,0.11,0.24,0.15,0.29,0.21,0.18,0.35,0.96
plplot.csv,1.0,0.9,0.03,0.19,0.56,0.25,0.56,0.62,0.31,0.49,0.42,0.05,0.45,0.08
qedo.csv,0.0,0.1,0.39,0.12,0.29,0.21,0.06,0.24,0.15,0.04,0.0,0.82,0.0,0.29
tradelink.csv,0.5,0.33,0.21,0.06,0.59,0.25,0.83,0.67,0.23,0.68,0.74,0.27,0.65,0.12
wgs-assembler.csv,1.0,0.54,0.0,0.75,0.47,0.25,0.28,0.38,0.38,0.49,0.32,0.09,0.65,0.38
