,f1,g,recall,precision,pf,wins
gtad.csv,0.33999999999999997,0.42,0.38,0.465,0.15000000000000002,11
jicarilla.csv,0.045,0.045,0.035,0.05,0.10500000000000001,0
jmule.csv,0.4,0.62,0.69,0.28,0.485,12
micomt.csv,0.47,0.5,0.885,0.31,0.83,8
migen.csv,0.22999999999999998,0.48,0.435,0.35,0.26,6
mvnforum.csv,0.275,0.29500000000000004,0.255,0.3,0.24,4
ng4j.csv,0.48,0.655,0.78,0.365,0.585,13
open-data-kit.csv,0.39,0.6,0.67,0.275,0.5,10
opennms.csv,0.185,0.32,0.28,0.21000000000000002,0.215,3
ossim.csv,0.265,0.35,0.33999999999999997,0.2,0.395,2
plplot.csv,0.35,0.41000000000000003,0.435,0.37,0.25,7
qedo.csv,0.11000000000000001,0.15500000000000003,0.135,0.175,0.25,1
tradelink.csv,0.33,0.415,0.41500000000000004,0.315,0.4,5
wgs-assembler.csv,0.385,0.43,0.38,0.37,0.21500000000000002,9
