,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.18,0.22,0.21,0.04,0.06,0.08,0.28,0.07,0.0,0.42
bscwweasel.csv,0.0,0.11,0.02,0.07,0.06,0.04,0.0,0.0,0.0,0.02
cme.csv,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fido.csv,0.01,0.22,0.04,0.11,0.26,0.08,0.02,0.0,0.0,0.0
japano.csv,0.66,0.0,0.64,0.78,0.94,0.52,0.63,1.0,0.9,0.52
joustsim.csv,0.13,0.0,0.15,0.19,0.42,0.12,0.0,0.26,0.1,0.13
log4net.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
personalaccess.csv,0.38,0.67,0.56,0.74,0.89,0.04,0.8,0.91,0.7,0.56
rcp-company-uibindings.csv,0.55,0.78,0.92,1.0,1.0,0.52,0.97,0.98,0.1,0.96
unbvision.csv,0.92,0.67,0.82,0.81,0.0,0.32,0.8,0.62,0.8,0.63
