,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.3,0.27,0.33,0.96,0.17,0.34,0.55,0.0,0.26,0.4
bscwweasel.csv,0.9,0.02,0.0,0.0,0.13,0.02,0.0,0.0,0.01,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0
fido.csv,0.05,0.22,0.0,0.15,0.3,0.05,0.0,1.0,0.04,0.0
japano.csv,0.5,0.99,0.67,0.89,0.97,0.55,0.73,1.0,0.93,0.0
joustsim.csv,0.15,0.18,0.0,0.15,0.5,0.16,1.0,1.0,0.31,0.0
log4net.csv,0.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
personalaccess.csv,0.4,0.54,1.0,1.0,1.0,1.0,1.0,1.0,0.44,1.0
rcp-company-uibindings.csv,0.75,0.62,1.0,1.0,1.0,0.64,1.0,1.0,0.99,1.0
unbvision.csv,0.85,0.79,1.0,0.93,0.93,0.66,0.64,0.75,0.89,1.0
