,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.66,0.53,0.59,0.44,0.9,0.55,0.39,0.86,0.63,0.38
bscwweasel.csv,0.94,0.75,0.5,0.5,0.89,0.75,0.0,0.0,0.67,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8
fido.csv,0.5,0.7,0.8,0.86,0.97,0.88,0.0,0.75,0.89,0.0
japano.csv,0.58,0.49,0.48,0.33,0.5,0.54,0.61,0.32,0.41,0.67
joustsim.csv,0.95,0.82,0.8,0.89,0.57,0.96,0.82,0.61,0.58,0.86
log4net.csv,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
personalaccess.csv,0.6,0.43,0.44,0.32,0.47,0.39,0.46,0.32,0.5,0.44
rcp-company-uibindings.csv,0.47,0.39,0.44,0.31,0.49,0.46,0.46,0.31,0.4,0.36
unbvision.csv,0.49,0.6,0.54,0.36,0.71,0.44,0.58,0.46,0.44,0.5
