,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,7.0,6.0,1.0,2.0,1.0,2.0,6.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
cornerstone.csv,1.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,6.0,0.0,0.0,118.0
esmf.csv,0.0,3.0,1.0,7.0,0.0,0.0,11.0,9.0,2.0,13.0,0.0,0.0,6.0,2.0,5.0
frogatto.csv,5.0,2.0,0.0,3.0,0.0,2.0,7.0,8.0,0.0,4.0,1.0,0.0,0.0,3.0,3.0
gretl.csv,0.0,5.0,1.0,3.0,3.0,0.0,21.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0
kindb.csv,3.0,0.0,5.0,3.0,0.0,0.0,17.0,10.0,0.0,55.0,0.0,0.0,1.0,0.0,2.0
libtorrent.csv,0.0,3.0,1.0,10.0,1.0,0.0,21.0,4.0,2.0,3.0,0.0,0.0,3.0,1.0,5.0
mia.csv,3.0,1.0,1.0,1.0,2.0,0.0,2.0,11.0,0.0,1.0,1.0,8.0,68.0,3.0,2.0
open-beos.csv,3.0,3.0,0.0,2.0,0.0,2.0,17.0,13.0,2.0,1.0,0.0,1.0,0.0,1.0,12.0
pidgin.csv,0.0,0.0,1.0,4.0,0.0,2.0,8.0,10.0,0.0,2.0,0.0,0.0,2.0,0.0,13.0
quantlib.csv,2.0,22.0,1.0,8.0,1.0,0.0,0.0,195.0,2.0,55.0,1.0,6.0,68.0,2.0,2.0
riff-evolve.csv,2.0,0.0,0.0,3.0,0.0,2.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0
tokratan.csv,0.0,4.0,0.0,4.0,1.0,2.0,5.0,8.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0
upp-mirror.csv,4.0,4.0,2.0,6.0,3.0,4.0,2.0,11.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0
wxcrp.csv,2.0,20.0,1.0,8.0,1.0,0.0,21.0,8.0,0.0,13.0,1.0,0.0,2.0,2.0,3.0
