,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.0,0.0,0.53,0.44,0.36,0.59,0.54,0.71,0.49,0.18,0.59,0.0,0.04,0.55
avifile.csv,0.45,0.29,0.59,0.0,0.69,0.38,0.54,0.43,0.14,0.46,0.55,0.71,0.82,0.25
delphilhlplib.csv,0.08,0.27,0.44,0.54,0.87,0.55,0.42,0.32,0.51,0.39,0.4,0.0,0.2,0.51
fluidium.csv,0.0,0.16,0.28,0.28,0.1,0.44,0.55,0.0,0.0,0.08,0.0,0.4,0.37,0.0
gnome-jabber.csv,0.0,0.22,0.71,0.19,0.49,0.18,0.45,0.41,0.29,0.52,0.54,0.77,0.77,0.57
ipfilter.csv,0.18,0.33,0.81,0.46,0.85,0.1,0.42,0.61,0.2,0.44,0.53,0.95,0.93,0.27
jparsec.csv,0.05,0.25,0.72,0.39,0.85,0.51,0.51,0.57,0.43,0.66,0.53,0.97,0.83,0.52
loki-lib.csv,0.07,0.28,0.57,0.48,0.62,0.17,0.21,0.24,0.55,0.36,0.68,0.97,0.33,0.55
mumble.csv,0.0,0.3,0.78,0.47,0.83,0.5,0.0,0.56,0.71,0.54,0.4,0.97,0.72,0.0
opengs.csv,0.22,0.27,0.67,0.5,0.62,0.71,0.51,0.48,0.5,0.58,0.45,0.44,0.56,0.48
owfs.csv,0.17,0.36,0.73,0.25,0.61,0.59,0.43,0.65,0.49,0.59,0.57,0.65,0.76,0.67
rectracker.csv,0.11,0.32,0.88,0.5,0.85,0.59,0.62,0.67,0.47,0.57,0.56,0.97,0.73,0.53
rockbox.csv,0.0,0.14,0.44,0.06,0.04,0.24,0.22,0.52,0.4,0.27,0.29,0.26,0.25,0.64
zealos.csv,0.0,0.0,0.04,0.54,0.04,0.0,0.0,0.0,0.0,0.18,0.06,0.02,0.12,0.0
