,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.02,0.58,0.52,0.0,0.9,0.67,1.0,0.0,0.0,0.77,0.45,0.06,0.71,0.03,0.17,0.04
fontforge.csv,0.9,0.9,0.93,0.92,1.0,0.76,1.0,0.75,0.83,1.0,0.6,0.89,0.73,0.78,1.0,0.96
glas.csv,0.9,0.87,0.45,0.24,0.95,0.77,1.0,0.83,0.78,0.72,0.57,0.67,0.68,0.68,0.83,0.5
hannosset.csv,0.54,0.19,0.21,0.04,0.39,0.29,1.0,0.42,0.5,0.23,0.23,0.17,0.11,0.16,0.67,0.33
hatari.csv,0.68,0.65,0.69,0.8,0.78,0.58,1.0,0.88,0.94,0.9,0.5,1.0,0.42,0.7,0.5,0.21
jaolt.csv,0.8,0.74,0.45,0.6,0.11,0.41,1.0,0.71,0.72,0.0,0.88,0.61,0.74,0.19,0.17,0.46
ltp.csv,0.22,0.71,0.86,0.76,0.79,0.74,0.0,0.96,0.67,0.59,0.68,0.72,0.53,0.43,1.0,0.79
mia.csv,0.44,0.26,0.41,0.68,0.1,0.24,1.0,0.79,0.39,0.9,0.39,0.67,0.21,0.03,0.0,0.38
net-snmp.csv,0.68,0.45,0.31,0.48,0.44,0.3,1.0,0.88,0.94,0.51,0.65,0.72,0.7,0.92,0.0,0.42
opde.csv,1.0,0.42,1.0,0.64,0.97,0.47,1.0,0.96,0.89,0.0,0.54,0.94,0.63,0.41,0.67,0.46
oppna-program-hsatools.csv,0.83,0.71,0.86,1.0,0.95,0.61,1.0,0.83,0.94,0.95,0.81,1.0,0.73,0.32,0.5,0.42
powerfolder-.csv,0.61,0.65,0.45,0.56,0.14,0.36,1.0,0.5,0.78,0.23,0.77,0.72,0.52,0.05,0.33,0.29
qlc.csv,0.0,0.87,0.03,0.56,0.95,0.45,1.0,0.0,0.67,0.79,0.3,0.72,0.37,0.11,0.5,0.08
quantlib.csv,1.0,0.0,0.03,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06,0.0,0.0,0.0,0.75
tcl.csv,0.51,0.84,0.66,0.84,0.69,0.62,0.0,0.0,0.61,0.74,0.7,0.56,0.9,0.89,0.33,0.75
