,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.47,0.49,0.25,1.0,0.38,0.45,0.54,0.2,0.9,0.14,0.86,0.33,0.42,0.5
elateportal.csv,0.02,0.27,0.3,0.53,0.38,0.35,0.38,0.15,0.8,0.12,0.75,0.55,0.32,1.0
gdis.csv,0.11,0.29,0.27,0.64,0.33,0.25,0.5,0.12,0.87,0.19,1.0,0.41,0.39,0.64
gzigzag.csv,0.1,0.36,1.0,1.0,0.0,0.4,0.73,0.0,0.9,0.0,1.0,0.3,0.67,0.0
icescrum.csv,0.4,0.4,0.37,1.0,0.28,1.0,0.46,0.33,1.0,0.33,0.87,0.22,1.0,0.67
jguard.csv,0.07,0.2,0.29,0.69,1.0,0.36,0.6,0.11,0.85,0.15,0.83,0.45,0.42,0.9
jitterbit.csv,0.52,0.99,0.32,0.41,0.26,0.43,0.57,0.2,0.81,0.05,0.79,0.38,0.5,0.97
jython.csv,1.0,0.22,0.23,0.18,0.24,0.17,0.47,0.07,0.78,0.21,0.0,0.33,0.5,0.0
personalaccess.csv,0.13,0.3,0.27,0.71,0.37,0.27,0.52,0.11,1.0,0.15,0.86,0.45,0.42,0.91
ppcboot.csv,0.74,0.34,0.28,0.73,0.38,0.37,0.99,0.19,0.93,0.26,0.84,0.29,0.41,0.87
repositorium.csv,0.34,0.29,0.25,0.5,0.42,0.67,0.54,1.0,0.82,0.3,0.89,0.21,0.38,0.85
unbvision.csv,0.48,0.38,0.25,1.0,0.37,1.0,0.47,0.19,0.84,0.12,0.83,0.33,0.52,1.0
wxstudio.csv,0.02,0.31,0.34,0.3,0.38,0.07,0.51,0.1,0.79,0.08,0.77,0.95,0.33,0.97
xbg.csv,0.55,0.27,0.22,0.67,0.24,0.56,0.6,0.0,1.0,1.0,0.0,0.43,0.4,0.0
