,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.62,0.57,0.36,0.97,0.43,0.56,0.61,0.28,0.7,0.22,0.73,0.35,0.58,0.08
elateportal.csv,0.04,0.36,0.38,0.36,0.45,0.39,0.3,0.21,0.43,0.21,0.44,0.59,0.38,1.0
gdis.csv,0.2,0.43,0.43,0.7,0.47,0.4,0.59,0.22,0.85,0.31,0.99,0.46,0.55,0.25
gzigzag.csv,0.16,0.3,0.91,0.06,0.0,0.2,0.28,0.0,0.26,0.0,0.42,0.13,0.43,0.0
icescrum.csv,0.38,0.29,0.42,0.06,0.27,0.24,0.33,0.14,0.39,0.29,0.69,0.09,0.97,0.09
jguard.csv,0.12,0.25,0.41,0.48,0.97,0.44,0.64,0.17,0.67,0.24,0.88,0.54,0.58,0.33
jitterbit.csv,0.57,0.98,0.36,0.35,0.2,0.43,0.61,0.13,0.45,0.07,0.52,0.41,0.42,0.89
jython.csv,1.0,0.22,0.29,0.13,0.29,0.23,0.11,0.12,0.44,0.27,0.0,0.13,0.17,0.0
personalaccess.csv,0.23,0.43,0.42,0.82,0.52,0.42,0.62,0.18,1.0,0.25,0.86,0.53,0.58,0.93
ppcboot.csv,0.68,0.43,0.4,0.62,0.43,0.46,0.99,0.25,0.65,0.4,0.51,0.26,0.54,0.7
repositorium.csv,0.42,0.32,0.34,0.12,0.33,0.22,0.59,0.95,0.73,0.33,0.85,0.12,0.52,0.63
unbvision.csv,0.57,0.53,0.39,0.33,0.51,0.98,0.38,0.26,0.63,0.2,0.69,0.19,0.57,0.13
wxstudio.csv,0.04,0.27,0.4,0.28,0.26,0.08,0.3,0.14,0.37,0.1,0.62,0.97,0.21,0.8
xbg.csv,0.36,0.22,0.19,0.31,0.24,0.26,0.05,0.0,0.08,0.93,0.0,0.14,0.17,0.0
