,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.18,0.42,0.69,0.07,0.67,0.41,0.71,0.59,0.54,0.66,0.59,0.84,0.73,1.01
elateportal.csv,1.23,0.73,0.61,0.78,0.66,0.63,0.87,0.69,0.79,0.74,0.83,0.54,0.79,0.0
gdis.csv,1.01,0.75,0.8,0.57,0.88,0.93,0.86,0.75,0.62,0.52,0.02,0.74,0.88,1.07
gzigzag.csv,0.85,0.76,0.17,0.97,1.02,0.87,0.83,1.0,0.85,1.01,0.74,0.93,0.69,1.0
icescrum.csv,0.64,0.78,0.58,0.97,0.82,0.87,0.82,0.91,0.76,0.75,0.57,0.96,0.05,0.97
jguard.csv,1.05,0.84,0.61,0.66,0.07,0.56,0.59,0.74,0.66,0.68,0.85,0.69,0.73,0.81
jitterbit.csv,0.37,0.04,0.64,0.87,0.87,0.6,0.64,0.91,0.78,0.94,0.77,0.78,0.67,0.25
jython.csv,0.0,0.83,0.73,1.06,0.88,0.91,0.94,0.85,0.82,0.66,1.0,0.93,0.9,1.0
personalaccess.csv,1.0,0.71,0.76,0.48,0.77,0.94,0.84,0.84,0.0,0.76,0.63,0.69,0.78,0.67
ppcboot.csv,0.37,0.6,0.65,0.52,0.67,0.54,0.02,0.67,0.53,0.38,0.7,0.88,0.72,0.78
repositorium.csv,0.48,0.72,0.69,0.94,0.76,0.87,0.71,0.09,0.76,0.64,0.49,0.95,0.83,0.83
unbvision.csv,0.34,0.53,0.86,0.8,0.76,0.03,0.79,0.6,0.69,0.86,0.67,0.89,0.5,0.93
wxstudio.csv,1.19,0.79,0.59,1.06,0.82,1.0,0.82,0.8,0.82,0.9,0.84,0.04,0.86,0.36
xbg.csv,0.73,0.84,0.85,0.81,0.86,0.83,0.98,1.01,0.96,0.12,1.0,0.92,0.9,1.0
